Name    Age
210810_A00902_B_L002_APMG-38-1  76
BH194L-4_S17    264
210810_A00902_B_L002_APMG-38-2  724
BH194L-7_S18    1212
210810_A00902_B_L002_APMG-38-3  1858
BH195L-2_S19    2504
210810_A00902_B_L002_APMG-38-10 3023
210810_A00902_B_L002_APMG-38-4  4381
210810_A00902_B_L002_APMG-38-5  5168
210810_A00902_B_L001_APMG-37-1  6400
BH193L-2_S20    6890
210810_A00902_B_L002_APMG-38-9  7562
BH193L-3_S20_L12        8513
210810_A00902_B_L001_APMG-37-2_BH193L-4_S23     9190
JK081L-1_S1_L12 9816
JK105L-6_S21_L12        10091
JK081L-3_S3_L12 10428
210810_A00902_B_L001_APMG-37-3  11536
JK081L-4_S4_L12 11791
JK081L-2_S2     12992
JK115L-4_S23_L12        13588
210810_A00902_B_L001_APMG-37-4  13746
JK109L-4_S22    13930
JK081L-6_S6_L12 14020
JK081L-7_S7_L12 14315
210810_A00902_B_L002_APMG-38-8  14669
JK081L-8_S8_L12 15123
210810_A00902_B_L002_APMG-38-7  15599
JK081L-9_S9_L12 16084
JK115L-2_S24_L12        16541
210810_A00902_B_L002_APMG-38-15 16946
JK081L-11_S11_L12       17222
210810_A00902_B_L001_APMG-37-11 17948
210810_A00902_B_L001_APMG-37-10 18715
JK081L-12_S12_L12       19192
210810_A00902_B_L001_APMG-37-9  19593
BH194L-1_S25_L12        20059
210810_A00902_B_L001_APMG-37-8  20630
JK081L-13_S13_L12       21068
210810_A00902_B_L001_APMG-37-7  21753
BH194L-2_S26_L12        22518
210810_A00902_B_L001_APMG-37-6  22982
